temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,relative_humidity_2m_mean,date,frost_day,heat_day,severe_heat_day,dry_day,dry_streak,strong_wind_day,dust_storm_risk,rainy_day,continuous_rain_streak,temp_range,temp_avg,cluster_label
31.4,16.4,0.0,20.9,24,2023-06-08,False,False,False,True,1,True,True,False,0,15.0,23.9,0
33.0,17.5,0.0,22.4,21,2023-06-09,False,False,False,True,2,True,True,False,0,15.5,25.25,0
33.0,15.9,0.0,18.4,25,2023-06-10,False,False,False,True,3,True,True,False,0,17.1,24.45,0
32.0,19.0,0.0,21.5,25,2023-06-11,False,False,False,True,4,True,True,False,0,13.0,25.5,0
29.5,16.4,0.0,17.6,23,2023-06-12,False,False,False,True,5,True,True,False,0,13.100000000000001,22.95,0
31.4,15.6,0.0,13.1,22,2023-06-13,False,False,False,True,6,False,False,False,0,15.799999999999999,23.5,0
34.3,16.1,0.0,18.5,22,2023-06-14,False,False,False,True,7,True,True,False,0,18.199999999999996,25.2,0
33.8,19.8,0.0,27.1,26,2023-06-15,False,False,False,True,8,True,True,False,0,13.999999999999996,26.799999999999997,0
31.4,21.0,0.0,29.9,38,2023-06-16,False,False,False,True,9,True,False,False,0,10.399999999999999,26.2,0
29.8,18.9,0.0,17.1,45,2023-06-17,False,False,False,True,10,True,False,False,0,10.900000000000002,24.35,0
21.8,16.4,9.1,12.3,80,2023-06-18,False,False,False,False,1,False,False,True,2,5.400000000000002,19.1,2
33.1,15.1,0.0,19.1,49,2023-06-19,False,False,False,True,2,True,False,False,0,18.0,24.1,0
31.5,18.0,0.0,16.9,33,2023-06-20,False,False,False,True,3,False,False,False,0,13.5,24.75,0
34.2,17.8,0.0,12.9,31,2023-06-21,False,False,False,True,4,False,False,False,0,16.400000000000002,26.0,0
35.2,19.5,0.0,16.6,25,2023-06-22,False,True,False,True,5,False,True,False,0,15.700000000000003,27.35,0
34.8,21.5,0.0,23.5,31,2023-06-23,False,False,False,True,6,True,False,False,0,13.299999999999997,28.15,0
29.5,20.4,1.6,23.3,44,2023-06-24,False,False,False,False,1,True,False,True,2,9.100000000000001,24.95,0
30.8,18.1,0.2,21.5,48,2023-06-25,False,False,False,True,2,True,False,False,0,12.7,24.450000000000003,0
32.8,17.5,0.0,11.5,42,2023-06-26,False,False,False,True,3,False,False,False,0,15.299999999999997,25.15,0
32.0,19.5,0.0,33.3,38,2023-06-27,False,False,False,True,4,True,False,False,0,12.5,25.75,0
31.1,17.9,0.0,14.8,45,2023-06-28,False,False,False,True,5,False,False,False,0,13.200000000000003,24.5,0
33.8,16.8,0.0,14.0,33,2023-06-29,False,False,False,True,6,False,False,False,0,16.999999999999996,25.299999999999997,0
36.5,19.3,0.0,24.2,29,2023-06-30,False,True,False,True,7,True,True,False,0,17.2,27.9,0
33.3,23.0,0.0,14.7,34,2023-07-01,False,False,False,True,8,False,False,False,0,10.299999999999997,28.15,0
33.8,20.2,10.7,16.2,49,2023-07-02,False,False,False,False,1,False,False,True,2,13.599999999999998,27.0,2
24.0,16.5,7.8,15.0,71,2023-07-03,False,False,False,False,1,False,False,True,3,7.5,20.25,2
30.5,16.0,0.0,15.6,41,2023-07-04,False,False,False,True,2,False,False,False,0,14.5,23.25,0
34.0,15.4,0.0,16.1,42,2023-07-05,False,False,False,True,3,False,False,False,0,18.6,24.7,0
34.5,18.4,0.0,16.9,31,2023-07-06,False,False,False,True,4,False,False,False,0,16.1,26.45,0
